Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_134_16S_022_3	ASV_139_16S_3_200	0.600699285736446	0.711671	0	81.818182
ASV_134_16S_022_3	ASV_784_16S_022_3	0.55525	0.57985	0	50
ASV_134_16S_022_3	ASV_899_16S_022_3	0.768082875825292	0.567616	0	70
ASV_134_16S_3_200	ASV_139_16S_3_200	0.830281257629395	0.891935	0	91.666667
ASV_134_16S_3_200	ASV_307_16S_3_200	0.523339743829652	0.801843	0	91.666667
ASV_1348_16S_022_3	ASV_2083_16S_022_3	0.779816420052766	0.656858	0	100
ASV_1348_16S_022_3	OTU_1202_18S_022_3	-0.679707467556	0.356297	0	60
ASV_135_16S_022_3	ASV_904_16S_3_200	-0.663540065288544	0.251022	0	8.695652
ASV_136_16S_022_3	ASV_1250_16S_022_3	0.69281	0.548868	0	83.333333
ASV_136_16S_022_3	ASV_426_16S_022_3	0.644510865211487	0.57726	0	90.909091
ASV_1362_16S_022_3	ASV_1645_16S_022_3	0.893429219722748	0.625005	0	100
ASV_1366_16S_022_3	ASV_1855_16S_022_3	0.778288066387177	0.648598	0	85.714286
ASV_1366_16S_022_3	ASV_1963_16S_3_200	0.57193	0.605655	0	71.428571
ASV_1366_16S_022_3	ASV_1999_16S_022_3	0.53310541260702	0.519532	0	66.666667
ASV_137_16S_022_3	ASV_574_16S_022_3	0.812192829240289	0.8505	0	76.923077
ASV_137_16S_022_3	OTU_4_18S_022_3	-0.575800001621246	0.419925	0	69.230769
ASV_1374_16S_022_3	OTU_168_18S_022_3	-0.588769316673279	0.52359	0	4.545455
ASV_1375_16S_022_3	OTU_839_18S_3_200	0.808003665734975	0.416375	0	50
ASV_1379_16S_022_3	ASV_431_16S_3_200	-0.641535878181458	0.404061	0	9.52381
ASV_138_16S_022_3	ASV_369_16S_022_3	0.664310388037154	0.840887	0	92.857143
ASV_138_16S_022_3	ASV_561_16S_022_3	0.849175289675378	0.789216	0	92.307692
ASV_1380_16S_022_3	ASV_1287_16S_3_200	0.551194667816162	0.576677	0	60
ASV_1380_16S_022_3	OTU_213_18S_3_200	0.677495747263242	0.659041	0	83.333333
ASV_1380_16S_022_3	OTU_351_18S_022_3	0.774275105959629	0.435094	0	72.727273
ASV_1380_16S_022_3	OTU_537_18S_022_3	0.566158242398418	0.597818	0	70
ASV_1382_16S_022_3	ASV_559_16S_3_200	0.64533543586731	0.589045	0	83.333333
ASV_1382_16S_022_3	OTU_624_18S_022_3	0.559196591377258	0.372816	0	57.142857
ASV_1382_16S_022_3	OTU_873_18S_022_3	-0.597071766853333	0.46177	0	80
ASV_1387_16S_022_3	OTU_3314_18S_3_200	0.728378666341205	0.46177	0	66.666667
ASV_139_16S_022_3	ASV_134_16S_3_200	0.59494811556696	0.70449	0	91.666667
ASV_139_16S_022_3	ASV_818_16S_022_3	0.769380331039429	0.706738	0	90.909091
ASV_1394_16S_022_3	ASV_1107_16S_3_200	0.758635401725769	0.603203	0	83.333333
ASV_1394_16S_022_3	ASV_1577_16S_022_3	0.58443957567215	0.625005	0	83.333333
ASV_1394_16S_022_3	ASV_2085_16S_022_3	0.706364113460324	0.46177	0	80
ASV_1394_16S_022_3	ASV_2304_16S_022_3	-0.718515634536743	0.603203	0	100
ASV_1397_16S_022_3	ASV_2156_16S_3_200	0.653687427451474	0.356297	0	60
ASV_1397_16S_022_3	ASV_523_16S_3_200	0.724004162785553	0.378113	0	50
ASV_1397_16S_022_3	OTU_107_18S_022_3	0.745640187714505	0.298548	0	50
ASV_14_16S_022_3	ASV_217_16S_022_3	0.62775	0.611976	0	95.238095
ASV_14_16S_022_3	ASV_690_16S_022_3	-0.733412253078139	0.347916	0	8.695652
ASV_14_16S_022_3	ASV_89_16S_022_3	0.521396746476525	0.694425	0	100
ASV_1401_16S_022_3	ASV_96_16S_3_200	0.732294321060181	0.599096	0	80
ASV_1401_16S_022_3	OTU_1391_18S_3_200	0.54699969291687	0.356297	0	60
ASV_1401_16S_022_3	OTU_1413_18S_022_3	0.907049775123596	0.599096	0	100
ASV_1401_16S_022_3	OTU_3348_18S_3_200	0.764399230480194	0.435861	0	60
ASV_1401_16S_022_3	OTU_515_18S_3_200	0.699989417229182	0.599096	0	100
ASV_1406_16S_022_3	ASV_1705_16S_022_3	0.783947229385376	0.519532	0	80
ASV_1406_16S_022_3	OTU_1398_18S_3_200	0.87376212598004	0.599096	0	100
ASV_1406_16S_022_3	OTU_1684_18S_022_3	0.708718478679657	0.320336	0	60
ASV_1407_16S_022_3	ASV_1251_16S_3_200	0.697535074605779	0.728162	0	85.714286
ASV_1411_16S_022_3	ASV_1508_16S_022_3	0.641528132804909	0.531283	0	71.428571
ASV_1411_16S_022_3	OTU_858_18S_3_200	0.539781808853149	0.608346	0	58.333333
ASV_1415_16S_022_3	ASV_888_16S_3_200	0.728142584763881	0.519532	0	57.142857
ASV_1420_16S_022_3	ASV_1591_16S_3_200	0.824221914266633	0.299011	0	44.444444
ASV_1426_16S_022_3	OTU_142_18S_3_200	0.722400279099253	0.616352	0	66.666667
ASV_143_16S_022_3	ASV_1348_16S_022_3	0.712911632974919	0.577294	0	100
ASV_143_16S_022_3	ASV_1716_16S_022_3	0.57011	0.439968	0	80
ASV_143_16S_022_3	ASV_1774_16S_022_3	0.853654980659485	0.519532	0	100
ASV_143_16S_022_3	ASV_1869_16S_022_3	0.965035557746887	0.577294	0	100
ASV_1439_16S_022_3	OTU_1123_18S_3_200	0.627038538455963	0.477917	0	75
