Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2860_18S_022_3	OTU_5330_18S_022_3	2	25	Eukaryota	Stramenopiles_X	Eukaryota	Dinoflagellata
OTU_2866_18S_022_3	OTU_1880_18S_3_200	3	37.5	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2866_18S_022_3	OTU_3373_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_287_18S_022_3	OTU_2835_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_287_18S_022_3	OTU_561_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_287_18S_022_3	OTU_725_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2877_18S_022_3	OTU_1043_18S_3_200	3	37.5	Eukaryota	Sagenista	Eukaryota	Dinoflagellata
OTU_288_18S_022_3	OTU_252_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_288_18S_022_3	OTU_6493_18S_022_3	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Opalozoa
OTU_2882_18S_022_3	OTU_6215_18S_022_3	1	12.5	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2897_18S_022_3	OTU_1463_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_2897_18S_022_3	OTU_2015_18S_3_200	2	25	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_2897_18S_022_3	OTU_774_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Chlorophyta
OTU_29_18S_022_3	OTU_255_18S_3_200	7	87.5	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_2918_18S_022_3	OTU_5736_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2931_18S_3_200	OTU_4803_18S_3_200	1	12.5	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2938_18S_022_3	OTU_1411_18S_3_200	1	12.5	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2938_18S_022_3	OTU_5899_18S_022_3	1	12.5	Eukaryota	Haptophyta	Eukaryota	Centroheliozoa
OTU_2943_18S_022_3	OTU_945_18S_3_200	3	37.5	Eukaryota	Sagenista	Eukaryota	Dinoflagellata
OTU_2944_18S_022_3	OTU_5055_18S_022_3	4	50	Eukaryota	Dinoflagellata	Eukaryota	Opalozoa
OTU_295_18S_022_3	OTU_1698_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Radiolaria
OTU_295_18S_022_3	OTU_2082_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_295_18S_022_3	OTU_2521_18S_022_3	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
