ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_519_16S_022_3	0	0	0	0	0	0	0	207	128	34	0	5	170	358	0	0	0	44	111	31	29	0	0
ASV_522_16S_022_3	0	0	0	0	0	0	0	152	149	52	0	0	95	101	30	20	0	104	256	59	25	0	0
ASV_523_16S_022_3	0	0	0	0	0	3	5	303	0	331	0	0	31	0	0	15	0	0	0	64	0	0	0
ASV_525_16S_022_3	0	0	3	4	51	14	23	0	43	34	34	91	19	18	92	51	15	17	50	0	15	0	27
ASV_530_16S_022_3	49	0	30	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	248
ASV_531_16S_022_3	0	0	0	0	0	0	0	44	65	81	0	26	17	101	0	0	0	34	83	83	215	305	0
ASV_533_16S_022_3	0	0	0	0	0	0	0	72	152	39	0	0	67	268	0	0	0	56	101	87	89	51	0
ASV_537_16S_022_3	0	0	0	0	0	0	0	18	0	21	0	12	10	27	7	3	3	0	5	7	10	3	16
ASV_538_16S_022_3	0	50	10	0	0	0	0	0	32	0	0	0	0	0	0	0	0	59	87	172	52	0	155
ASV_539_16S_022_3	0	0	0	0	0	0	0	240	66	63	0	16	22	61	0	0	0	74	187	151	130	80	8
ASV_540_16S_022_3	0	0	0	99	76	25	48	0	0	0	27	25	0	0	295	97	8	5	8	0	0	0	8
ASV_547_16S_022_3	0	0	0	22	0	22	42	0	0	12	7	134	0	0	18	8	19	0	7	91	36	0	60
ASV_550_16S_022_3	0	0	0	0	0	0	0	0	11	0	94	24	7	0	359	134	0	0	0	16	0	0	0
ASV_552_16S_022_3	0	0	0	0	0	0	0	282	36	0	0	12	261	45	0	0	0	100	156	118	58	0	0
