ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
OTU_255_18S_022.3	442	29	1247	77	0	123	533	193	139	32	796	110	1586	362	123	391	0	127	74	174	203	231
OTU_228_18S_022.3	0	139	82	0	0	0	0	0	92	0	0	41	0	0	457	0	0	0	0	0	0	31
OTU_256_18S_022.3	0	217	117	1618	995	1229	0	946	306	280	346	284	1223	91	32	185	287	427	262	0	139	374
OTU_258_18S_022.3	0	349	394	55	22	0	0	0	22	0	0	0	0	567	305	0	0	0	0	0	0	257
OTU_259_18S_022.3	1237	4247	746	0	0	0	0	0	1042	0	0	0	683	0	117	0	0	0	0	0	0	0
OTU_260_18S_022.3	0	0	0	0	108	356	0	120	29	74	43	185	24	0	0	0	0	43	206	0	0	0
OTU_261_18S_022.3	0	77	0	0	85	787	0	0	0	77	59	203	0	0	0	0	323	64	570	0	61	0
OTU_262_18S_022.3	2218	404	292	792	49	1958	1066	22	33	74	701	221	1384	75	0	53	0	470	683	412	30	0
OTU_263_18S_022.3	47	5252	507	4660	54	0	0	0	205	52	14	0	0	17	0	0	0	0	25	0	0	0
OTU_264_18S_022.3	2345	128	69	137	31	4635	214	194	0	225	428	409	12	0	0	34	12	214	190	11	246	24
OTU_269_18S_022.3	1302	2058	541	1240	415	1513	140	81	1067	430	157	113	348	189	137	60	104	89	0	77	804	309
OTU_265_18S_022.3	2070	236	1698	1085	130	2899	0	27	34	21	47	21	31	0	20	20	0	30	36	19	50	38
OTU_271_18S_022.3	0	149	21	219	1112	89	0	53	76	77	0	61	0	0	0	0	49	0	0	0	161	0
OTU_270_18S_022.3	1754	118	126	547	133	714	0	0	157	130	340	236	110	188	93	80	16	344	81	184	0	162
OTU_272_18S_022.3	468	422	0	319	321	1401	0	103	252	337	28	229	0	0	0	118	107	273	0	0	362	0
OTU_273_18S_022.3	9	35	45	0	0	0	0	32	102	82	0	0	0	0	74	0	0	0	0	0	0	1454
OTU_268_18S_022.3	27	818	287	1159	28	401	97	0	26	225	0	63	33	0	78	0	184	0	0	0	56	54
OTU_274_18S_022.3	8	789	72	0	6	28	0	15	72	0	0	2143	0	0	8	257	0	0	0	0	0	78
OTU_276_18S_022.3	0	86	31	28	3297	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	40
OTU_277_18S_022.3	13	0	0	230	29	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_279_18S_022.3	2940	374	52	44	11	185	122	551	153	14	74	32	99	0	174	129	18	640	143	21	26	343
OTU_282_18S_022.3	45	29	713	676	101	295	39	0	183	0	122	40	148	432	0	229	0	1239	17	482	210	415
OTU_287_18S_022.3	241	918	663	3969	179	460	0	87	0	277	0	0	11	0	0	10	52	0	0	0	0	0
OTU_284_18S_022.3	87	61	997	0	0	33	0	63	18	139	0	46	93	182	123	35	15	0	35	0	119	0
OTU_288_18S_022.3	31	5852	39	73	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0
