ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_475_18S	1886	1201	772	279	29	1927	0	0	0	0	140	30	0	0	0	0	0	0	0	34	0	0	6298
OTU_477_18S	0	38	37	48	0	62	29	0	320	0	311	0	0	1805	838	77	0	59	0	417	0	0	4041
OTU_478_18S	16	93	52	545	97	369	0	0	53	0	0	39	0	33	0	107	0	153	24	0	0	0	1581
OTU_482_18S	0	0	260	21	0	0	0	139	22	0	0	0	0	23	53	511	0	0	0	0	0	107	1136
OTU_483_18S	264	195	10	466	344	708	0	51	0	208	0	16	0	0	53	0	120	58	0	0	0	0	2493
OTU_484_18S	20	78	99	453	66	113	177	136	329	0	0	0	39	359	477	121	0	0	0	74	0	214	2755
OTU_486_18S	40	6800	12	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6872
OTU_490_18S	0	0	0	40	0	0	0	0	0	0	2878	0	0	254	0	0	0	0	0	87	0	0	3259
OTU_494_18S	1005	1310	31	52	611	149	0	0	0	0	24	41	0	0	0	0	0	0	57	0	67	0	3347
OTU_501_18S	542	473	45	54	0	597	0	41	66	46	0	148	0	0	0	55	83	0	90	0	76	0	2316
OTU_503_18S	1169	33	199	1564	0	223	0	0	0	114	48	73	0	416	96	0	0	76	0	18	0	282	4311
OTU_506_18S	365	93	10	116	0	12	0	33	0	73	0	0	0	0	186	0	16	115	0	0	0	169	1188
OTU_508_18S	0	4388	0	47	1491	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5939
OTU_510_18S	0	4	90	0	9	11	0	0	0	0	3	0	2884	80	0	0	0	0	0	0	0	0	3081
OTU_511_18S	196	365	97	39	0	455	0	27	0	0	0	0	0	0	0	89	0	0	0	0	0	0	1268
OTU_515_18S	0	0	1438	0	0	8	0	46	0	0	0	0	0	484	31	0	0	0	0	0	0	29	2036
OTU_520_18S	261	709	446	108	8	776	50	29	184	134	273	148	66	31	121	48	24	45	40	191	58	140	3890
OTU_522_18S	680	1361	0	50	0	1089	0	0	0	0	0	131	118	24	0	0	0	0	0	127	0	0	3580
OTU_523_18S	1324	341	379	375	41	420	69	25	109	331	83	0	75	141	193	46	0	0	0	79	0	282	4313
OTU_525_18S	35	41	12	392	47	357	8	0	0	67	0	38	0	0	0	0	25	0	44	172	321	0	1559
OTU_526_18S	0	116	652	2210	524	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4467
OTU_527_18S	1822	320	362	657	266	837	191	16	47	41	0	105	0	0	0	36	187	101	0	24	0	41	5053
OTU_531_18S	0	202	64	1212	0	879	0	241	195	0	0	17	241	0	0	0	0	10	0	0	1331	0	4392
OTU_533_18S	0	0	43	2951	1823	0	0	0	270	0	0	0	0	0	0	0	145	0	0	0	0	0	5232
OTU_538_18S	0	155	30	36	0	21	0	0	0	0	0	0	0	78	57	0	0	0	0	0	0	266	643
OTU_536_18S	138	179	62	249	0	387	0	17	0	103	28	12	11	0	14	61	39	0	10	34	0	44	1388
OTU_498_18S	5	4	27	3	1	19	0	0	2	0	10	4	29	0	64	3	2	3	0	0	0	20	196
OTU_541_18S	63	287	772	243	117	852	552	41	259	0	38	111	0	89	14	0	25	50	0	123	665	136	4437
OTU_544_18S	514	198	30	186	52	337	0	20	34	90	0	31	19	0	0	41	154	0	0	14	49	0	1769
OTU_545_18S	0	0	1237	0	0	289	327	0	300	0	0	0	0	354	0	0	0	0	0	661	0	0	3168
